Array Size,Selection Sort,Insertion Sort,Binary Insertion Sort,Merge Sort
13800,0.184000,0.099000,0.069000,0.002000
13900,0.188000,0.100000,0.072000,0.001000
14000,0.192000,0.102000,0.071000,0.002000
14100,0.193000,0.104000,0.073000,0.002000
14200,0.199000,0.103000,0.074000,0.002000
14300,0.200000,0.104000,0.076000,0.002000
14400,0.218000,0.145000,0.077000,0.002000
14500,0.207000,0.125000,0.081000,0.002000
14600,0.213000,0.113000,0.085000,0.002000
14700,0.213000,0.116000,0.080000,0.002000
14800,0.213000,0.117000,0.078000,0.002000
14900,0.221000,0.143000,0.080000,0.002000
15000,0.220000,0.119000,0.083000,0.002000
15100,0.225000,0.129000,0.088000,0.004000
15200,0.234000,0.121000,0.098000,0.003000
15300,0.237000,0.122000,0.087000,0.002000
15400,0.238000,0.125000,0.116000,0.002000
15500,0.241000,0.127000,0.089000,0.002000
15600,0.239000,0.128000,0.091000,0.002000
15700,0.262000,0.133000,0.103000,0.002000
15800,0.272000,0.150000,0.098000,0.002000
15900,0.247000,0.132000,0.120000,0.003000
16000,0.260000,0.137000,0.094000,0.002000
16100,0.252000,0.136000,0.095000,0.002000
16200,0.260000,0.138000,0.101000,0.003000
16300,0.261000,0.145000,0.100000,0.003000
16400,0.262000,0.137000,0.100000,0.002000
16500,0.275000,0.140000,0.098000,0.002000
16600,0.267000,0.142000,0.099000,0.002000
16700,0.281000,0.174000,0.109000,0.003000
16800,0.300000,0.166000,0.121000,0.003000
16900,0.309000,0.169000,0.106000,0.002000
17000,0.284000,0.153000,0.108000,0.002000
17100,0.286000,0.183000,0.119000,0.003000
17200,0.397000,0.195000,0.128000,0.002000
17300,0.324000,0.164000,0.134000,0.006000
17400,0.310000,0.162000,0.112000,0.002000
17500,0.302000,0.162000,0.137000,0.002000
17600,0.304000,0.171000,0.113000,0.002000
17700,0.310000,0.159000,0.116000,0.003000
17800,0.309000,0.166000,0.124000,0.003000
17900,0.338000,0.208000,0.120000,0.002000
18000,0.322000,0.176000,0.118000,0.002000
18100,0.321000,0.189000,0.119000,0.002000
18200,0.318000,0.171000,0.121000,0.002000
18300,0.336000,0.178000,0.121000,0.002000
18400,0.403000,0.180000,0.131000,0.003000
18500,0.335000,0.183000,0.125000,0.002000
18600,0.333000,0.181000,0.134000,0.003000
18700,0.336000,0.207000,0.140000,0.002000
18800,0.383000,0.187000,0.132000,0.003000
18900,0.348000,0.187000,0.130000,0.002000
19000,0.352000,0.186000,0.151000,0.003000
19100,0.448000,0.195000,0.141000,0.002000
19200,0.363000,0.191000,0.137000,0.002000
19300,0.367000,0.194000,0.143000,0.003000
19400,0.367000,0.198000,0.135000,0.002000
19500,0.375000,0.198000,0.138000,0.002000
19600,0.394000,0.199000,0.142000,0.002000
19700,0.404000,0.241000,0.150000,0.002000
19800,0.402000,0.207000,0.146000,0.003000
19900,0.381000,0.204000,0.145000,0.002000
20000,0.381000,0.210000,0.154000,0.002000
20100,0.395000,0.214000,0.145000,0.002000
20200,0.398000,0.211000,0.148000,0.003000
20300,0.414000,0.222000,0.150000,0.002000
20400,0.451000,0.227000,0.157000,0.002000
20500,0.413000,0.243000,0.155000,0.002000
20600,0.418000,0.225000,0.156000,0.003000
20700,0.414000,0.226000,0.155000,0.003000
20800,0.418000,0.227000,0.157000,0.003000
20900,0.420000,0.223000,0.158000,0.003000
21000,0.423000,0.239000,0.161000,0.003000
21100,0.430000,0.232000,0.160000,0.003000
21200,0.428000,0.231000,0.163000,0.003000
21300,0.430000,0.235000,0.168000,0.003000
21400,0.431000,0.238000,0.163000,0.002000
21500,0.443000,0.232000,0.166000,0.003000
21600,0.445000,0.246000,0.169000,0.004000
21700,0.448000,0.248000,0.182000,0.003000
21800,0.477000,0.256000,0.180000,0.003000
21900,0.531000,0.259000,0.183000,0.003000
22000,0.473000,0.252000,0.179000,0.003000
22100,0.482000,0.267000,0.179000,0.003000
22200,0.480000,0.260000,0.178000,0.003000
22300,0.476000,0.260000,0.181000,0.003000
22400,0.512000,0.267000,0.187000,0.004000
22500,0.493000,0.262000,0.187000,0.003000
22600,0.494000,0.266000,0.187000,0.003000
22700,0.522000,0.298000,0.192000,0.003000
22800,0.503000,0.280000,0.187000,0.003000
22900,0.504000,0.274000,0.206000,0.003000
23000,0.507000,0.268000,0.188000,0.003000
23100,0.528000,0.276000,0.250000,0.003000
23200,0.583000,0.316000,0.195000,0.003000
23300,0.556000,0.292000,0.197000,0.003000
23400,0.550000,0.320000,0.237000,0.004000
23500,0.600000,0.305000,0.204000,0.003000
23600,0.535000,0.339000,0.233000,0.003000
23700,0.616000,0.305000,0.206000,0.003000
23800,0.557000,0.301000,0.209000,0.003000
23900,0.559000,0.302000,0.207000,0.003000
24000,0.553000,0.308000,0.210000,0.003000
